animation_name,length_sec,track_count,correct_hip,correct_xz,animation_type,weapon_attached,wired_connections,storage_domain,verified_for_use,skeleton,pack_or_folder,source_path,in_wiring_table,asset_exists,load_ok,notes
standing-block-react-large,1.3333,20,pipeline_locked_if_played,pipeline_locked_if_played,defense,global,global:{blockReact},local:public/anim,wired_and_loads,mixamo,block,animations/block/standing-block-react-large,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
fall-a-land-to-standing-idle-01,0.7,21,pipeline_locked_if_played,pipeline_locked_if_played,idle,universal,universal:{land},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/fall-a-land-to-standing-idle-01,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
fall-a-loop,1.0667,21,pipeline_locked_if_played,pipeline_locked_if_played,acrobatics,universal,universal:{jumpAir},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/fall-a-loop,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
shooting-arrow,5,20,pipeline_locked_if_played,pipeline_locked_if_played,attack,bow,bow:{attack1},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/shooting-arrow,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-aim-overdraw,3.7667,21,pipeline_locked_if_played,pipeline_locked_if_played,idle,bow,bow:{aim},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-aim-overdraw,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-aim-recoil,0.7,21,pipeline_locked_if_played,pipeline_locked_if_played,idle,bow,bow:{release},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-aim-recoil,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-aim-walk-back,1.4667,21,pipeline_locked_if_played,pipeline_locked_if_played,idle,bow,bow:{walkB},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-aim-walk-back,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-aim-walk-forward,1.2,21,pipeline_locked_if_played,pipeline_locked_if_played,idle,bow,bow:{walkF},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-aim-walk-forward,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-aim-walk-left,1.2,21,pipeline_locked_if_played,pipeline_locked_if_played,idle,bow,bow:{walkL},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-aim-walk-left,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-aim-walk-right,1.3,21,pipeline_locked_if_played,pipeline_locked_if_played,idle,bow,bow:{walkR},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-aim-walk-right,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-block,2,21,pipeline_locked_if_played,pipeline_locked_if_played,defense,knife,knife:{blockStart+blockIdle},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-block,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-death-forward-01,3.1667,21,pipeline_locked_if_played,pipeline_locked_if_played,reaction,bow|knife|unarmed,unarmed:{death} | knife:{death} | bow:{death},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-death-forward-01,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-disarm-bow,1.1,21,pipeline_locked_if_played,pipeline_locked_if_played,weapon_handling,bow,bow:{disarm},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-disarm-bow,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-dive-forward,1.6333,21,pipeline_locked_if_played,pipeline_locked_if_played,dodge,universal,universal:{dash},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-dive-forward,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-dodge-backward,1.6333,21,pipeline_locked_if_played,pipeline_locked_if_played,dodge,universal,universal:{dodgeB},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-dodge-backward,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-dodge-forward,1,21,pipeline_locked_if_played,pipeline_locked_if_played,dodge,universal,universal:{dodgeF},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-dodge-forward,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-dodge-left,0.9667,21,pipeline_locked_if_played,pipeline_locked_if_played,dodge,universal,universal:{dodgeL},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-dodge-left,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-dodge-right,0.9667,21,pipeline_locked_if_played,pipeline_locked_if_played,dodge,universal,universal:{dodgeR},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-dodge-right,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-draw-arrow,1.0333,21,pipeline_locked_if_played,pipeline_locked_if_played,weapon_handling,bow,bow:{drawArrow},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-draw-arrow,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-equip-bow,0.9,21,pipeline_locked_if_played,pipeline_locked_if_played,weapon_handling,bow,bow:{equip},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-equip-bow,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-idle-01,5.1,21,pipeline_locked_if_played,pipeline_locked_if_played,idle,bow|unarmed,bow:{idle+idles} | unarmed:{idles},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-idle-01,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-melee-punch,1,21,pipeline_locked_if_played,pipeline_locked_if_played,attack,unarmed,unarmed:{attack1},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-melee-punch,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-react-small-from-front,1.2667,21,pipeline_locked_if_played,pipeline_locked_if_played,reaction,bow|knife|pistol|unarmed,unarmed:{hit} | knife:{hit} | pistol:{hit} | bow:{hit},local:public/anim,wired_and_loads,mixamo,bow,animations/bow/standing-react-small-from-front,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
